Time,x,y,z,w
23.847,0.005370172582501719,0.013132803845542523,0.26396143585892534,0.964428873006653
23.848,0.00537488145838936,0.0131436444736276,0.2639902684017771,0.964420807245684
23.849,0.005379808401916403,0.013153598198053779,0.2640191711266091,0.9644127320777247
23.85,0.005384943645166295,0.013162615392780347,0.2640481115377312,0.9644046571493307
23.851,0.005390275152445737,0.013170657295935119,0.2640770565297516,0.9643965921418203
23.852,0.005395788784790961,0.013177696493874621,0.26410597278084214,0.9643885466553355
23.853,0.005401468490028538,0.0131837172606485,0.26413482714509934,0.9643805300950301
23.854,0.005407296515456199,0.013188715750133449,0.2641635870397937,0.964372551560612
23.855,0.005413253486709137,0.013192700103218463,0.2641922096060967,0.9643646228134479
23.856,0.005419279221285959,0.01319572111116818,0.2642206733703134,0.9643567494038792
23.857,0.005425353761840145,0.01319780912270355,0.26424894970946355,0.9643489388952348
23.858,0.005431456398102132,0.013199005671824743,0.26427701197485426,0.9643411981618921
23.859,0.005437565945357515,0.013199362962532957,0.26430483579718106,0.9643335333110626
23.86,0.0054436610256644235,0.013198943229138217,0.2643323993660482,0.9643259496133347
23.861,0.005449720348446231,0.013197817980978771,0.26435968368128376,0.96431845144257
23.862000000000002,0.005455722987183788,0.013196067141420843,0.26438667277365024,0.9643110422256737
23.863,0.005461648649053502,0.013193778091891003,0.26441335389277215,0.9643037244026759
23.864,0.00546747793449281,0.01319104463242112,0.2644397176603327,0.9642964993974961
23.865,0.005473192546829353,0.013187965886161761,0.26446575547460405,0.9642893683435372
23.866,0.005478746499074447,0.013184716936976062,0.26449146759401326,0.9642823290644995
23.867,0.005484125344321507,0.01318140113306192,0.2645168552402325,0.9642753799238033
23.868,0.005489316373699063,0.013178123592142856,0.2645419232325231,0.9642685182648957
23.869,0.005494308791295544,0.013174989937755219,0.2645666799480323,0.9642617404378965
23.87,0.00549909386449222,0.013172105029038237,0.2645911372413184,0.9642550418375416
23.871,0.00550366504798777,0.013169571697436738,0.2646153103232132,0.9642484169522372
23.872,0.005508018080044963,0.013167489503710906,0.2646392175995472,0.9642418594239203
23.873,0.005512151049750107,0.013165953528567326,0.2646628804707205,0.9642353621183106
23.874,0.00551606443435174,0.01316505321006785,0.2646863230935935,0.9642289172049996
23.875,0.005519761185648018,0.013164871207379119,0.2647095779319114,0.9642225146477632
23.876,0.00552325858577515,0.013165489447872327,0.2647326695883718,0.9642161464914425
23.877,0.00552656377178367,0.01316697371013356,0.26475562863736246,0.9642098034147072
23.878,0.005529686117412978,0.013169380247729085,0.26477848712749397,0.9642034758025969
23.879,0.005532637117913507,0.01317275504780465,0.264801278197507,0.9641971538621853
23.88,0.005535430246392796,0.013177133205797708,0.2648240356746187,0.9641908277418284
23.881,0.00553808078319478,0.013182538425211714,0.2648467936603942,0.9641844876525008
23.882,0.0055406056202214745,0.013188982650221557,0.2648695861095947,0.9641781239896211
23.883,0.005543023042508782,0.013196465837532858,0.2648924464077404,0.9641717274537103
23.884,0.005545352489748916,0.013204975872403272,0.2649154069532993,0.9641652891681703
23.885,0.005547614348438738,0.013214488612215011,0.26493850222285187,0.9641587998383204
23.886,0.005549877031110982,0.013224912766708452,0.26496175845212955,0.9641522530727229
23.887,0.005552160130248431,0.013236202978155384,0.26498520266373343,0.9641456419119827
23.888,0.005554483334286804,0.013248302923476722,0.2650088593919162,0.9641389602273795
23.889,0.005556866144791727,0.013261145963061625,0.2650327503755299,0.9641322027993762
23.89,0.005559327596132211,0.013274655923468505,0.26505689428797385,0.9641253653841945
23.891,0.005561885981750077,0.013288748005435317,0.26508130650795475,0.9641184447674518
23.892,0.005564558591080341,0.013303329806676359,0.2651059989341666,0.9641114388040725
23.893,0.0055673614610486045,0.013318302447106894,0.26513097984623535,0.9641043464439234
23.894,0.005570309145869088,0.01333356178245293,0.26515625381347707,0.964097167742866
23.895,0.005573414371038474,0.013348999748439894,0.2651818117032894,0.9640899065957107
23.896,0.005576714861560595,0.013364469997139533,0.26520765745227615,0.9640825636955191
23.897,0.0055802185229076,0.013379861931261451,0.2652337844868321,0.9640751423113915
23.898,0.005583931156316273,0.013395065059255796,0.2652601826440342,0.9640676467180888
23.899,0.005587856366004296,0.013409970394000175,0.2652868383143922,0.9640600821382549
23.9,0.005591995498431999,0.013424471833294883,0.2653137346257794,0.9640524546731182
23.901,0.005596347614252056,0.01343846750355119,0.2653408516653482,0.9640447712228122
23.902,0.00560090949305872,0.01345186104861964,0.265368166735842,0.9640370393975729
23.903,0.005605675670527163,0.013464562846569758,0.26539565464240794,0.9640292674211481
23.904,0.0056106385070317615,0.013476491138386146,0.2654232880057995,0.9640214640278146
23.905,0.005615788083719004,0.01348757313864473,0.2654510230962296,0.9640136423475518
23.906,0.0056210942499113885,0.013497737743625865,0.26547883994514665,0.9640058090678796
23.907,0.0056265442775594665,0.013506932887600038,0.26550670677910865,0.9639979737627953
23.908,0.005632123803013907,0.013515117691468397,0.2655345910699921,0.9639901460702518
23.909,0.005637817023289856,0.0135222629658301,0.26556245991451627,0.963982335578638
23.91,0.005643606909831437,0.013528351566300988,0.26559028041481575,0.9639745517149949
23.911,0.005649475436588377,0.01353337859815357,0.2656180200561668,0.9639668036361275
23.912,0.005655403819104178,0.013537351469413744,0.2656456470781335,0.963959100123691
23.913,0.005661372761256669,0.01354028979354703,0.26567313083556643,0.9639514494842534
23.914,0.0056673627062845695,0.013542225144756042,0.2657004421460584,0.963943859455245
23.915,0.005673353939546541,0.013543200733125652,0.2657275429985871,0.9639363400458109
23.916,0.005679286689658027,0.013543324487521114,0.26575441632614166,0.9639288948193607
23.917,0.005685143452221565,0.013542659100952948,0.26578103922132257,0.9639215293367178
23.918,0.00569090737520477,0.013541276953366738,0.2658073914283826,0.9639142482885901
23.919,0.00569656248879311,0.013539259231095349,0.265833455578358,0.9639070554418376
23.92,0.005702093921622857,0.013536694948194199,0.26585921739384205,0.96389995359556
23.921,0.005707488100966083,0.013533679881466344,0.26588466586118237,0.9638929445474381
23.922,0.00571273293467575,0.01353031543159713,0.26590979336807335,0.9638860290707026
23.923000000000002,0.005717817972949821,0.01352670742328566,0.265934595804724,0.9638792069020327
23.924,0.005722734548225817,0.013522964857618723,0.265959072627021,0.9638724767406347
23.925,0.0057274759107263954,0.013519198622177786,0.2659832282165949,0.9638658358899255
23.926,0.0057320213591268866,0.013515572580556046,0.26600706910651795,0.9638592804005772
23.927,0.0057363686186873665,0.013512195109655668,0.2660306053172756,0.963852806030523
23.928,0.00574051748754942,0.01350917266505504,0.2660538502685416,0.9638464076138715
23.929,0.005744469854444058,0.013506608508323144,0.2660768206416821,0.9638400791157777
23.93,0.005748229689781894,0.013504601467557931,0.2660995362021841,0.9638338136979936
23.931,0.005751803010195662,0.01350324474437873,0.2661220195831764,0.963827603794619
23.932,0.0057551978168721065,0.013502624780342885,0.2661442960317657,0.9638214411974274
23.933,0.005758424008269746,0.01350282019540264,0.2661663931204939,0.9638153171499914
23.934,0.005761493268087845,0.013503900810570903,0.26618834042681033,0.9638092224496716
23.935,0.005764419019628457,0.013505926728005074,0.26621017560281557,0.9638031457834646
23.936,0.005767243170001134,0.013508940832781976,0.2662319262999685,0.9637970786645924
23.937,0.0057699809170637115,0.013512981817148767,0.26625362585256634,0.963791011248283
23.938,0.005772648592775119,0.013518076763203116,0.2662753080773907,0.9637849337052012
23.939,0.0057752634503172254,0.013524240745763076,0.266297006857565,0.9637788363431894
23.94,0.005777843437686498,0.013531476574784455,0.26631875572274644,0.9637727097283902
23.941,0.005780406960465972,0.013539774682462404,0.26634058743158256,0.9637665448040409
23.942,0.005782972636715557,0.013549113158546315,0.2663625335624434,0.9637603330052011
23.943,0.005785559047117206,0.01355945793565349,0.2663846241183931,0.9637540663677151
23.944,0.005788184483676282,0.013570763124508783,0.2664068871521925,0.96374773762976
23.945,0.0057908667056363215,0.013582971495034403,0.2664293487849565,0.9637413402226691
23.946,0.005793665536499063,0.013595957139470668,0.2664520314336934,0.9637348693151925
23.947,0.005796595331574352,0.013609644307027262,0.2664749553072315,0.9637283202533831
23.948,0.005799669244031789,0.013623948148188795,0.2664981374735105,0.9637216893878987
23.949,0.005802899022802235,0.013638775728459172,0.26652159165768086,0.9637149741182901
23.95,0.005806294829352012,0.013654027149013457,0.26654532808477155,0.9637081729232923
23.951,0.005809865076175202,0.013669596760652106,0.26656935336859855,0.9637012853767732
23.952,0.005813616289554704,0.013685374455907456,0.26659367044779897,0.9636943121492468
23.953,0.005817552998799398,0.013701247022813442,0.26661827856909753,0.963687254995093
23.954,0.0058216776537671384,0.013717099542761964,0.2666431733171693,0.9636801167258665
23.955,0.005825990416704962,0.013732816880332024,0.26666833577138843,0.9636729041916213
23.956,0.005830502563775396,0.013748239409918659,0.26669376214729074,0.9636656206302608
