Time,phi,theta,psi
35.453,-0.006433239696932859,0.02387968853340605,0.18193901047522706
35.454,-0.006412628627592372,0.023880414640828906,0.18182422646338026
35.455,-0.006392305697170695,0.0238824403893505,0.1817096767922516
35.456,-0.0063723437624777024,0.023885586973674933,0.18159547246459945
35.457,-0.006352806291572713,0.023889788873151074,0.18148174970613973
35.458,-0.006333752742128762,0.023894970301623353,0.18136864143911557
35.459,-0.00631523817981001,0.02390104594954945,0.1812562762003796
35.46,-0.006297312951059855,0.02390792181951218,0.18114477708574508
35.461,-0.006280022407958998,0.023915496145514803,0.18103426073052942
35.462,-0.006263406682059681,0.023923660385351653,0.18092483633612913
35.463,-0.006247500503539972,0.023932300274440488,0.18081660475224856
35.464,-0.006232333061689289,0.02394129692878133,0.1807096576240431
35.465,-0.00621792851519704,0.023950527824951218,0.18060405102718002
35.466,-0.006204256330391983,0.02395978077496319,0.18049987662470854
35.467,-0.006191330179164736,0.023968932692493228,0.18039719403845259
35.468,-0.006179157915794007,0.02397786041541372,0.18029605109437677
35.469,-0.006167741585448197,0.023986441865772035,0.18019648341263086
35.47,-0.006157077454451236,0.023994557182110743,0.18009851410299912
35.471,-0.006147156061160739,0.024002089812867222,0.18000215356902546
35.472,-0.006137962287124695,0.024008927560518645,0.17990739942289827
35.473,-0.006129475449004279,0.024014963567161596,0.17981423651195946
35.474,-0.0061216694125057905,0.02402009723336862,0.17972263705646874
35.475,-0.006114514315278758,0.024024234659656418,0.17963249490791033
35.476,-0.006107913386966424,0.02402730034642664,0.17954381026882943
35.477,-0.006101826818565447,0.024029216694537725,0.17945651949489555
35.478,-0.006096209985281008,0.024029915283568126,0.1793705479366313
35.479,-0.006091013713701648,0.024029337379499305,0.17928581058626317
35.48,-0.006086184587832102,0.02402743435162047,0.17920221280952933
35.481,-0.006081665296578323,0.02402416799848095,0.17911965115474013
35.482,-0.006077395024727723,0.024019510783583886,0.17903801423070986
35.483,-0.006073309888726807,0.024013445982256743,0.17895718364462637
35.484,-0.006069343417666436,0.024005967741768552,0.17887703499050184
35.485,-0.006065428392613587,0.023997080725172815,0.1787973841358676
35.486,-0.0060614410326136365,0.023986888005345985,0.1787181414919758
35.487,-0.006057311927501375,0.023975413024858172,0.17863917101266913
35.488,-0.006052971381461453,0.02396268964456838,0.17856033489884285
35.489,-0.006048350092100844,0.02394876181213057,0.17848149469360003
35.49,-0.006043379852718209,0.023933683163070096,0.17840251237025406
35.491,-0.006037994269984834,0.023917516558102925,0.17832325140439392
35.492,-0.006032129488268656,0.02390033356038712,0.1782435778217281
35.493,-0.0060257249110066665,0.023882213856371237,0.17816336121398446
35.494,-0.006018723908886151,0.023863244623917312,0.17808247571575794
35.495,-0.006011074502554598,0.023843519851784123,0.17800080100335253
35.496,-0.006002795951704708,0.023823257656081065,0.17791822249090308
35.497,-0.005993845616385437,0.02380255943590992,0.17783463323736104
35.498,-0.00598418739068973,0.023781531215380847,0.17774993423543792
35.499,-0.0059737921794519935,0.023760282803926946,0.17766403511160173
35.5,-0.005962638299655941,0.023738926927658666,0.17757685475806678
35.501,-0.005950711798368811,0.02371757833628596,0.1774883218940558
35.502,-0.005938006680244457,0.02369635289044303,0.17739837555411136
35.503,-0.005924525039043734,0.023675366634562156,0.17730696550167738
35.504,-0.00591027708918825,0.02365473486080627,0.17721405256656292
35.505,-0.005895279792386922,0.02363457149511672,0.17711966400405071
35.506,-0.005879598215296429,0.023615007808351685,0.17702373929443405
35.507,-0.0058632649546801,0.02359615032779261,0.1769262736168973
35.508,-0.005846319837641171,0.023578101152048614,0.1768272737979077
35.509,-0.005828809454825148,0.023560957067904065,0.1767267582583241
35.51,-0.005810786607294457,0.023544808698043873,0.17662475688173745
35.511,-0.005792309675251789,0.023529739687164986,0.1765213108043832
35.512,-0.005773441918216295,0.02351582593407775,0.1764164721272001
35.513,-0.005754250717485961,0.023503134877405962,0.176310303550871
35.514,-0.005734806772724659,0.023491724842402695,0.17620287793498243
35.515,-0.005715181756161795,0.023481644824079995,0.17609434204313318
35.516,-0.005695487067910746,0.023472872837363434,0.1759847364115916
35.517,-0.005675796886242692,0.02346543860833905,0.17587416094832312
35.518,-0.005656185322532078,0.02345936084847655,0.17576272323694253
35.519,-0.005636725587114915,0.02345464701160105,0.17565053774759173
35.52,-0.005617489186580488,0.023451293148427643,0.1755377249882586
35.521,-0.005598545163678126,0.023449283862373882,0.17542441060136843
35.522,-0.005579959389868297,0.02344859236936303,0.1753107244111903
35.523,-0.005561793919186568,0.023449180663241975,0.17519679942832017
35.524,-0.005544106410564069,0.02345099978726828,0.17508277081822243
35.525,-0.005526948425154767,0.023453990493892185,0.17496882596850818
35.526,-0.00551034979188529,0.023457959788070193,0.17485506128751724
35.527,-0.005494352568399792,0.023462832664335354,0.17474161188168005
35.528,-0.005478992906885748,0.02346852514124964,0.17462861068291327
35.529,-0.00546430086860855,0.023474945030119265,0.17451618736548613
35.53,-0.005450300313504909,0.023481992785552963,0.17440446728119682
35.531,-0.005437008860546888,0.02348956242955591,0.17429357042305535
35.532,-0.005424437913442775,0.023497542539808736,0.174183610427655
35.533,-0.005412592745340953,0.023505817291859854,0.1740746936262572
35.534,-0.005401472635545997,0.02351426754418484,0.1739669181542937
35.535,-0.005391071446430468,0.023522771863698777,0.17386035630817823
35.536,-0.005381314853685209,0.023531134751660687,0.17375510123741125
35.537,-0.005372187374575511,0.023539236116853823,0.17365122178778958
35.538,-0.005363668394657841,0.02354695700054288,0.1735487758103008
35.539,-0.005355732455159167,0.023554180701004013,0.17344780968825757
35.54,-0.005348349551715129,0.023560793868290242,0.1733483579661344
35.541,-0.005341485439984221,0.02356668755788438,0.17325044308375928
35.542,-0.005335101944710417,0.023571758232604267,0.1731540752182872
35.543,-0.0053291572699031365,0.023575908702959003,0.1730592522351275
35.544,-0.005323606308909155,0.023579048997138585,0.1729659597477372
35.545,-0.005318402367124344,0.023581096834039528,0.1728741113584922
35.546,-0.005313444635784874,0.02358200056811266,0.1727837162515473
35.547,-0.005308681332344225,0.023581695443372297,0.17269472475649428
35.548,-0.005304058542823927,0.023580126604288543,0.17260707624344732
35.549,-0.005299520551161658,0.023577249522429122,0.1725206996844351
35.55,-0.005295010178925707,0.023573030323953637,0.17243551429890003
35.551,-0.005290469138378551,0.023567446017335625,0.1723514302759276
35.552,-0.005285838401691487,0.023560484621758526,0.17226834956520384
35.553,-0.0052810585887063605,0.023552145197641705,0.1721861667281885
35.554,-0.005276070375039563,0.02354243778165177,0.17210476984062267
35.555,-0.005270816210675109,0.023531382940524148,0.17202398666111374
35.556,-0.005265233484663731,0.023519108697986235,0.17194373837117172
35.557,-0.005259265618430238,0.023505653607186483,0.17186389946642694
35.558,-0.005252857947523589,0.023491066164662566,0.17178434189550984
35.559,-0.005245958230398001,0.023475404324553528,0.17170493608206913
35.56,-0.005238517167601397,0.023458734944675097,0.1716255519440001
35.561,-0.0052304889258664,0.023441133170310158,0.17154605990175834
35.562,-0.005221831660584891,0.023422681761702036,0.1714663318681086
